"Notes","Residence County","Residence County Code","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate
,"Tolland County, CT","09013","2022 Week 45 ending November 12, 2022 (provisional)","2022/45",23,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2022 Week 46 ending November 19, 2022 (provisional)","2022/46",22,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2022 Week 47 ending November 26, 2022 (provisional)","2022/47",23,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2022 Week 48 ending December 03, 2022 (provisional)","2022/48",21,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2022 Week 49 ending December 10, 2022 (provisional)","2022/49",28,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2022 Week 50 ending December 17, 2022 (provisional)","2022/50",24,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2022 Week 51 ending December 24, 2022 (provisional)","2022/51",23,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2022 Week 52 ending December 31, 2022 (provisional)","2022/52",24,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2023 Week 01 ending January 07, 2023 (provisional)","2023/01",24,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2023 Week 02 ending January 14, 2023 (provisional)","2023/02",31,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2023 Week 03 ending January 21, 2023 (provisional)","2023/03",32,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2023 Week 04 ending January 28, 2023 (provisional)","2023/04",19,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2023 Week 05 ending February 04, 2023 (provisional)","2023/05",26,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2023 Week 06 ending February 11, 2023 (provisional)","2023/06",24,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2023 Week 07 ending February 18, 2023 (provisional)","2023/07",31,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2023 Week 08 ending February 25, 2023 (provisional)","2023/08",24,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2023 Week 09 ending March 04, 2023 (provisional)","2023/09",21,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2023 Week 10 ending March 11, 2023 (provisional)","2023/10",18,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2023 Week 11 ending March 18, 2023 (provisional)","2023/11",24,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2023 Week 12 ending March 25, 2023 (provisional)","2023/12",14,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2023 Week 13 ending April 01, 2023 (provisional)","2023/13",22,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2023 Week 14 ending April 08, 2023 (provisional)","2023/14",16,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2023 Week 15 ending April 15, 2023 (provisional)","2023/15",28,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2023 Week 16 ending April 22, 2023 (provisional)","2023/16",26,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2023 Week 17 ending April 29, 2023 (provisional)","2023/17",28,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2023 Week 18 ending May 06, 2023 (provisional)","2023/18",26,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2023 Week 19 ending May 13, 2023 (provisional)","2023/19",25,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2023 Week 20 ending May 20, 2023 (provisional)","2023/20",17,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2023 Week 21 ending May 27, 2023 (provisional)","2023/21",17,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2023 Week 22 ending June 03, 2023 (provisional)","2023/22",24,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2023 Week 23 ending June 10, 2023 (provisional)","2023/23",17,Not Applicable,Not Applicable
,"Tolland County, CT","09013","2023 Week 24 ending June 17, 2023 (provisional)","2023/24",15,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 01 ending January 06, 2018","2018/01",21,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 02 ending January 13, 2018","2018/02",27,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 03 ending January 20, 2018","2018/03",32,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 04 ending January 27, 2018","2018/04",21,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 05 ending February 03, 2018","2018/05",19,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 06 ending February 10, 2018","2018/06",17,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 07 ending February 17, 2018","2018/07",12,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 08 ending February 24, 2018","2018/08",15,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 09 ending March 03, 2018","2018/09",25,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 10 ending March 10, 2018","2018/10",23,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 11 ending March 17, 2018","2018/11",29,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 12 ending March 24, 2018","2018/12",25,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 13 ending March 31, 2018","2018/13",33,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 14 ending April 07, 2018","2018/14",32,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 15 ending April 14, 2018","2018/15",23,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 16 ending April 21, 2018","2018/16",19,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 17 ending April 28, 2018","2018/17",25,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 18 ending May 05, 2018","2018/18",12,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 19 ending May 12, 2018","2018/19",14,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 20 ending May 19, 2018","2018/20",19,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 21 ending May 26, 2018","2018/21",19,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 22 ending June 02, 2018","2018/22",20,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 23 ending June 09, 2018","2018/23",21,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 24 ending June 16, 2018","2018/24",19,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 25 ending June 23, 2018","2018/25",19,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 26 ending June 30, 2018","2018/26",20,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 27 ending July 07, 2018","2018/27",22,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 28 ending July 14, 2018","2018/28",17,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 29 ending July 21, 2018","2018/29",19,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 30 ending July 28, 2018","2018/30",19,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 31 ending August 04, 2018","2018/31",23,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 32 ending August 11, 2018","2018/32",17,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 33 ending August 18, 2018","2018/33",24,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 34 ending August 25, 2018","2018/34",19,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 35 ending September 01, 2018","2018/35",24,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 36 ending September 08, 2018","2018/36",17,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 37 ending September 15, 2018","2018/37",28,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 38 ending September 22, 2018","2018/38",21,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 39 ending September 29, 2018","2018/39",21,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 40 ending October 06, 2018","2018/40",22,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 41 ending October 13, 2018","2018/41",13,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 42 ending October 20, 2018","2018/42",28,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 43 ending October 27, 2018","2018/43",16,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 44 ending November 03, 2018","2018/44",29,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 45 ending November 10, 2018","2018/45",20,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 46 ending November 17, 2018","2018/46",17,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 47 ending November 24, 2018","2018/47",24,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 48 ending December 01, 2018","2018/48",16,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 49 ending December 08, 2018","2018/49",23,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 50 ending December 15, 2018","2018/50",27,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 51 ending December 22, 2018","2018/51",26,Not Applicable,Not Applicable
,"Windham County, CT","09015","2018 Week 52 ending December 29, 2018","2018/52",19,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 01 ending January 05, 2019","2019/01",21,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 02 ending January 12, 2019","2019/02",18,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 03 ending January 19, 2019","2019/03",21,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 04 ending January 26, 2019","2019/04",19,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 05 ending February 02, 2019","2019/05",23,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 06 ending February 09, 2019","2019/06",29,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 07 ending February 16, 2019","2019/07",32,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 08 ending February 23, 2019","2019/08",27,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 09 ending March 02, 2019","2019/09",23,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 10 ending March 09, 2019","2019/10",14,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 11 ending March 16, 2019","2019/11",32,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 12 ending March 23, 2019","2019/12",26,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 13 ending March 30, 2019","2019/13",25,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 14 ending April 06, 2019","2019/14",20,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 15 ending April 13, 2019","2019/15",22,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 16 ending April 20, 2019","2019/16",20,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 17 ending April 27, 2019","2019/17",20,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 18 ending May 04, 2019","2019/18",20,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 19 ending May 11, 2019","2019/19",28,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 20 ending May 18, 2019","2019/20",25,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 21 ending May 25, 2019","2019/21",20,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 22 ending June 01, 2019","2019/22",17,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 23 ending June 08, 2019","2019/23",24,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 24 ending June 15, 2019","2019/24",26,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 25 ending June 22, 2019","2019/25",15,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 26 ending June 29, 2019","2019/26",24,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 27 ending July 06, 2019","2019/27",21,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 28 ending July 13, 2019","2019/28",25,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 29 ending July 20, 2019","2019/29",25,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 30 ending July 27, 2019","2019/30",19,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 31 ending August 03, 2019","2019/31",18,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 32 ending August 10, 2019","2019/32",26,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 33 ending August 17, 2019","2019/33",19,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 34 ending August 24, 2019","2019/34",18,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 35 ending August 31, 2019","2019/35",26,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 36 ending September 07, 2019","2019/36",20,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 37 ending September 14, 2019","2019/37",19,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 38 ending September 21, 2019","2019/38",19,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 40 ending October 05, 2019","2019/40",18,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 41 ending October 12, 2019","2019/41",15,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 42 ending October 19, 2019","2019/42",29,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 43 ending October 26, 2019","2019/43",23,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 44 ending November 02, 2019","2019/44",13,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 45 ending November 09, 2019","2019/45",26,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 46 ending November 16, 2019","2019/46",33,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 47 ending November 23, 2019","2019/47",27,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 48 ending November 30, 2019","2019/48",28,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 49 ending December 07, 2019","2019/49",17,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 50 ending December 14, 2019","2019/50",21,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 51 ending December 21, 2019","2019/51",21,Not Applicable,Not Applicable
,"Windham County, CT","09015","2019 Week 52 ending December 28, 2019","2019/52",24,Not Applicable,Not Applicable
